store,schema,table,table_description,grain,source_file,row_count,column_order,column_name,column_description,data_type,nullable,primary_key,foreign_key,unit,as_of_basis,source_priority,transformation_rule,quality_rule,implementation_status
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,1,pd_no,상품번호,text,N,Y,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,2,pd_exg_mkt,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,3,pd_nm,상품명,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,4,pd_abrv_nm,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,5,pd_eng_nm,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,6,pd_abrv_eng_nm,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,7,pd_ctry_cd,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,8,pd_pbcm,발행사,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,9,std_pd_mcls_nm,채권 대분류,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,10,std_pd_scls_nm,확인할 수 없음,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,11,bd_knd,채권 종류,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,12,curr_cd,통화,text,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,13,isu_bal_amt,확인할 수 없음,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,14,isu_dt,발행일,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
PostgreSQL/RDB,raw,bond_kr_master,국내채권 원본 마스터,채권 1건/행,data/csv/PRBD01N001_bond_kr_master_20260711.csv,42394,15,mat_dt,만기일,double precision,Y,N,,,2026-02-24 (실질 기준일),organizer,원본 CSV 무변경 적재,PD_NO 유일,빌더 구현; live DB 미확인
