table_schema,table_name,table_kind,grain,ordinal_position,column_name,data_type,is_nullable,pk_ordinal,fk_target,unit,as_of_column,description,zero_null_rule,source_priority,transform_expression,implementation_status,deployment_status
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,1,after_tax_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",개인 세후 운용수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,2,applied_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",민평수익률/민평금리,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,3,avg_annual_tax_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",세후 연평균수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,4,bdbns_abl_chnl_nm,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",채권매매가능채널구분명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,5,bdbns_abl_chnl_tcd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",채권매매가능채널구분코드,빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,6,bd_inrt_tcd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",금리구분,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,7,bd_intp_tcd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",이자지급구분,빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,8,bd_knd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",예탁원 기준 채권종류명,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,9,bd_ofr_tcd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",모집구분,빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,10,bd_tisu_a,"numeric(26,8)",True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",총발행금액,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,11,buyable_quantity,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",매수가능수량,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,12,buy_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",매수수익률/매수금리,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,13,corp_after_tax_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",법인 세후 투자수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,14,corp_pretax_yield,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",법인 세전 투자수익률,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,15,cov,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",컨벡시티,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,16,crd_grd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",적용신용등급,빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,17,crd_grd_dt,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",신용등급 적용일자(등급 미변경 시 과거 일자로 유지될 수 있음),빈 값=NULL; 0은 원본 값으로 보존,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,18,curr_cd,text,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",통화코드,빈 값=NULL; 0은 공식 코드/플래그 원문 보존; 의미 추측·임의 필터 금지,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,19,depo_equiv_yield_154,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",예금환산수익률(세율 15.4 기준),빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,20,depo_equiv_yield_495,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",은행환산수익률(세율 49.5 기준),빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
raw,bond_kr_master,table,채권×시장×정보기준일×판매 LOT,21,dirty,double precision,True,,,공식 문서 미표기,"info_base_dt,pd_std_info_update,sale_yield_base_dt",이자부단가/Dirty Price,빈 값=NULL; 0은 raw에 보존하되 측정값 비교·랭킹에서는 값 없음,주최측(1순위),공식 XLSX 값 그대로; 공백만 NULL; PK는 NOT NULL,구현,미배포
