pd_no,pd_exg_mkt,info_seq,crd_grd_norm,crd_grd_rank,crd_grd_source,remaining_days,maturity_bucket,is_krw,has_sale_info,is_sellable,source
KR60143NEFC6,장내,1,AAA,1,crd_grd,186,1년미만,Y,N,Y,derived:PRBD01N001
KR353601GEA5,장내,1,AAA,1,crd_grd,430,1-3년,Y,N,Y,derived:PRBD01N001
KR354408G566,장내,1,AAA,1,crd_grd,3207,5-10년,Y,N,Y,derived:PRBD01N001
KR6421091F14,장내,1,AA+,2,crd_grd,146,1년미만,Y,N,Y,derived:PRBD01N001
KR354407G642,장내,1,AAA,1,crd_grd,1691,3-5년,Y,N,Y,derived:PRBD01N001
KR354414GF43,장내,1,AAA,1,crd_grd,981,1-3년,Y,N,Y,derived:PRBD01N001
KR380703G6B7,장내,1,AAA,1,crd_grd,78,1년미만,Y,N,Y,derived:PRBD01N001
KR2004011574,장내,1,,,,1068,1-3년,Y,N,Y,derived:PRBD01N001
KR354602GFB7,장내,1,AAA,1,crd_grd,10669,10년이상,Y,N,Y,derived:PRBD01N001
KR3507037W43,장내,1,AAA,1,crd_grd,4626,10년이상,Y,N,Y,derived:PRBD01N001
KR350703GBB6,장내,1,AAA,1,crd_grd,5561,10년이상,Y,N,Y,derived:PRBD01N001
KR354412G923,장내,1,AAA,1,crd_grd,2742,5-10년,Y,N,Y,derived:PRBD01N001
KR350901GF82,장내,1,AAA,1,crd_grd,1462,3-5년,Y,N,Y,derived:PRBD01N001
KR6056552C70,장내,1,AA,3,crd_grd,340,1년미만,Y,N,Y,derived:PRBD01N001
KR6066571A29,장내,1,AA,3,crd_grd,188,1년미만,Y,N,Y,derived:PRBD01N001
KR354420GG69,장내,1,AAA,1,crd_grd,858,1-3년,Y,N,Y,derived:PRBD01N001
KR356901GFB1,장내,1,AA+,2,crd_grd,812,1-3년,Y,N,Y,derived:PRBD01N001
KR6017962F40,장외,1,,,,1320,3-5년,Y,N,Y,derived:PRBD01N001
KR2044022E39,장외,1,,,,953,1-3년,Y,N,Y,derived:PRBD01N001
KR6192391BA9,장외,1,,,,46,1년미만,Y,N,Y,derived:PRBD01N001
KR354409GE58,장내,1,AAA,1,crd_grd,265,1년미만,Y,N,Y,derived:PRBD01N001
KR6335571FB3,장외,1,A,6,crd_grd,10674,10년이상,Y,N,Y,derived:PRBD01N001
KR6393461B86,장외,1,,,,852,1-3년,Y,N,Y,derived:PRBD01N001
KR3527017197,장내,1,AAA,1,crd_grd,1865,5-10년,Y,N,Y,derived:PRBD01N001
KR354601GC31,장내,1,AAA,1,crd_grd,195,1년미만,Y,N,Y,derived:PRBD01N001
KR354416GB37,장내,1,AAA,1,crd_grd,3505,5-10년,Y,N,Y,derived:PRBD01N001
KR6316141G64,장내,1,AAA,1,crd_grd,622,1-3년,Y,N,Y,derived:PRBD01N001
KR2008012C61,장외,1,,,,313,1년미만,Y,N,Y,derived:PRBD01N001
KR60076B2F67,장외,1,C,19,crd_grd,402,1-3년,Y,N,Y,derived:PRBD01N001
KR60145A1FC0,장외,1,AA,3,crd_grd,1643,3-5년,Y,N,Y,derived:PRBD01N001
KR60082C1F80,장외,1,A-,7,crd_grd,689,1-3년,Y,N,Y,derived:PRBD01N001
KR6014821BA1,장내,1,A+,5,crd_grd,68,1년미만,Y,N,Y,derived:PRBD01N001
KR60150S1G23,장내,1,AAA,1,crd_grd,892,1-3년,Y,N,Y,derived:PRBD01N001
KR6042671F32,장내,1,A,6,crd_grd,570,1-3년,Y,N,Y,derived:PRBD01N001
KR6420401C71,장외,1,AA+,2,crd_grd,322,1년미만,Y,N,Y,derived:PRBD01N001
KR6021963G65,장내,1,AA-,4,crd_grd,1032,1-3년,Y,N,Y,derived:PRBD01N001
KR6000111G29,장외,1,AAA,1,crd_grd,5279,10년이상,Y,N,Y,derived:PRBD01N001
KR60037C1G18,장외,1,AAA,1,crd_grd,283,1년미만,Y,N,Y,derived:PRBD01N001
KR60019V2F24,장외,1,C,19,crd_grd,646,1-3년,Y,N,Y,derived:PRBD01N001
KR6039491E94,장내,1,AA,3,crd_grd,14,1년미만,Y,N,Y,derived:PRBD01N001
