corp_code,corp_name,corp_name_norm,stock_code,source
00434003,다코,다코,,DART:corpCode
00430964,굿앤엘에스,굿앤엘에스,,DART:corpCode
00388953,크레디피아제이십오차유동화전문회사,크레디피아제이십오차유동화전문회사,,DART:corpCode
00179984,연방건설산업,연방건설산업,,DART:corpCode
00420143,브룩스피알아이오토메이션잉크,브룩스피알아이오토메이션잉크,,DART:corpCode
00401111,매경아이비아이,매경아이비아이,,DART:corpCode
00435534,캐드뱅크,캐드뱅크,,DART:corpCode
00430186,엠와이오피삼차유동화전문유한회사,엠와이오피삼차유동화전문유한회사,,DART:corpCode
00430201,엠와이오피이차유동화전문유한회사,엠와이오피이차유동화전문유한회사,,DART:corpCode
00430210,엠와이오피일차유동화전문유한회사,엠와이오피일차유동화전문유한회사,,DART:corpCode
00430229,포스미디어,포스미디어,,DART:corpCode
00140432,축복할렐루야,축복할렐루야,,DART:corpCode
00426208,한국전자화학,한국전자화학,,DART:corpCode
00433262,ConnachtCapitalMarketInvestmentLtd.,CONNACHTCAPITALMARKETINVESTMENTLTD.,,DART:corpCode
00433749,선진아이티,선진아이티,,DART:corpCode
00433785,팀스코리아,팀스코리아,,DART:corpCode
00196079,에넥스하이테크,에넥스하이테크,,DART:corpCode
00435048,세이스텝바이스텝혼합형펀드,세이스텝바이스텝혼합형펀드,,DART:corpCode
00435057,유리알파헷지채권혼합형펀드,유리알파헷지채권혼합형펀드,,DART:corpCode
00108843,한기술정보통신,한기술정보통신,,DART:corpCode
00443232,다움종합건설,다움종합건설,,DART:corpCode
00248293,한국애치슨,한국애치슨,,DART:corpCode
00455662,고은상사,고은상사,,DART:corpCode
00149318,조흥종합건설,조흥종합건설,,DART:corpCode
00451347,유니즈유통,유니즈유통,,DART:corpCode
00415105,창대화장품,창대화장품,,DART:corpCode
00420824,문화종합건설,문화종합건설,,DART:corpCode
00389439,한국종합미디어,한국종합미디어,,DART:corpCode
00454016,아이펜텍,아이펜텍,,DART:corpCode
00452072,대홍염공,대홍염공,,DART:corpCode
00437602,지오항공여행사,지오항공여행사,,DART:corpCode
00365518,헤이아니타코리아,헤이아니타코리아,,DART:corpCode
00246967,태산산업개발,태산산업개발,,DART:corpCode
00445559,군포종합시장,군포종합시장,,DART:corpCode
00444657,기우,기우,,DART:corpCode
00448936,라시도,라시도,,DART:corpCode
00405658,예전미디어,예전미디어,,DART:corpCode
00410818,세미가,세미가,,DART:corpCode
00416061,대닉스,대닉스,,DART:corpCode
00448909,인포핸드,인포핸드,,DART:corpCode
00445407,지현개발,지현개발,,DART:corpCode
00421647,한국부동산신탁제일차유동화전문유한회사,한국부동산신탁제일차유동화전문유한회사,,DART:corpCode
00421425,ISCCaymanLtd.,ISCCAYMANLTD.,,DART:corpCode
00423265,연산,연산,,DART:corpCode
00423292,씨케이알유동화전문유한회사,씨케이알유동화전문유한회사,,DART:corpCode
00420602,디에스피,디에스피,,DART:corpCode
00307505,LOMBARDKOREAILIMITED,LOMBARDKOREAILIMITED,,DART:corpCode
00241397,우신투자자문,우신투자자문,,DART:corpCode
00421896,외환카드제오차유동화전문유한회사,외환카드제오차유동화전문유한회사,,DART:corpCode
00365712,태연,태연,,DART:corpCode
00388616,글로벌금강제일차유동화전문유한회사,글로벌금강제일차유동화전문유한회사,,DART:corpCode
00230407,글로벌렌탈,글로벌렌탈,,DART:corpCode
00423566,뤼미에르에셋,뤼미에르에셋,,DART:corpCode
00423274,바사라엔터테인먼트,바사라엔터테인먼트,,DART:corpCode
00419688,대백유동화전문유한회사,대백유동화전문유한회사,,DART:corpCode
00419712,아이키키,아이키키,,DART:corpCode
00414665,진명씨앤씨,진명씨앤씨,,DART:corpCode
00421869,한경핫벤처,한경핫벤처,,DART:corpCode
00421957,우리부동산제일차유동화전문유한회사,우리부동산제일차유동화전문유한회사,,DART:corpCode
00255442,영진상운,영진상운,,DART:corpCode
00427517,한국토지신탁제오차유동화전문유한회사,한국토지신탁제오차유동화전문유한회사,,DART:corpCode
00376152,다드림커뮤니케이션,다드림커뮤니케이션,,DART:corpCode
00382241,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD,,DART:corpCode
00431501,싱가포르개발은행서울지점,싱가포르개발은행서울지점,,DART:corpCode
00434289,KTB혼합형펀드,KTB혼합형펀드,,DART:corpCode
00434298,KTB플러스찬스혼합형펀드,KTB플러스찬스혼합형펀드,,DART:corpCode
00434313,KTB포트폴리오스타혼합형펀드,KTB포트폴리오스타혼합형펀드,,DART:corpCode
00434322,KTB에버스타혼합형펀드,KTB에버스타혼합형펀드,,DART:corpCode
00429463,나노이앤씨,나노이앤씨,,DART:corpCode
00429515,지산엔터프라이즈,지산엔터프라이즈,,DART:corpCode
00432175,유아이에스코리아,유아이에스코리아,,DART:corpCode
00387033,트리플에스유동화전문유한회사,트리플에스유동화전문유한회사,,DART:corpCode
00384045,크레디피아제이십일차유동화전문유한회사,크레디피아제이십일차유동화전문유한회사,,DART:corpCode
00431608,싱가포르개발은행,싱가포르개발은행,,DART:corpCode
00431705,엘지팩토링제일차유동화전문유한회사,LG팩토링제일차유동화전문유한회사,,DART:corpCode
00430256,이피에스뱅크,이피에스뱅크,,DART:corpCode
00431167,이라이프네트워크,이라이프네트워크,,DART:corpCode
00432315,덕성,덕성,,DART:corpCode
00413134,타오건설,타오건설,,DART:corpCode
00435376,장원코리아,장원코리아,,DART:corpCode
00110909,대신통상,대신통상,,DART:corpCode
00220695,서울교육,서울교육,,DART:corpCode
00211794,보성패션,보성패션,,DART:corpCode
00454496,넥스탑,넥스탑,,DART:corpCode
00455592,마니빌,마니빌,,DART:corpCode
00370796,제이엘코프,제이엘코프,,DART:corpCode
00199401,컴마을,컴마을,,DART:corpCode
00369596,삼신크리에이션,삼신크리에이션,,DART:corpCode
00210078,호한통상,호한통상,,DART:corpCode
