pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR70000Z0003,A0000Z0,ETF,RISE 바이오TOP10액티브,0000Z0,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR70005C0005,A0005C0,ETF,RISE 미국S&P500엔화노출(합성 H),0005C0,0.1,합성(패시브),해외,주식,환노출,0.1,LSEG
KR70007F0000,A0007F0,ETF,KODEX 27-12 회사채(AA-이상)액티브,0007F0,0.09,실물(액티브),국내,채권,환노출,0.09,LSEG
KR70007N0000,A0007N0,ETF,아이엠에셋 200,0007N0,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR70013P0000,A0013P0,ETF,RISE 미국은행TOP10,0013P0,0.2,실물(패시브),해외,주식,환노출,0.2,LSEG
KR70015F0000,A0015F0,ETF,KIWOOM 팔란티어미국30년국채혼합액티브(H),0015F0,0.19,실물(액티브),해외,혼합자산,환헤지,0.19,LSEG
KR70020H0001,A0020H0,ETF,KoAct 글로벌양자컴퓨팅액티브,0020H0,0.5,실물(액티브),국내&해외,주식,환노출,0.5,LSEG
KRG520000438,Q520043,ETN,미래에셋 S&P 유럽탄소배출권 선물 ETN,520043,,,,,,,
KR70021D0004,A0021D0,ETF,ACE TDF2030액티브 적격,0021D0,0.3,실물(액티브),국내&해외,혼합자산,환노출,0.3,LSEG
KR70022T0005,A0022T0,ETF,SOL 국제금커버드콜액티브,0022T0,0.45,실물(액티브),해외,원자재,환노출,0.45,LSEG
KR70026S0002,A0026S0,ETF,1Q 미국S&P500,0026S0,0.005,실물(패시브),해외,주식,환노출,0.005,LSEG
KR70048J0007,A0048J0,ETF,KODEX 미국머니마켓액티브,0048J0,0.05,실물(액티브),해외,채권,환노출,0.05,LSEG
KR70049M0001,A0049M0,ETF,ACE 미국배당퀄리티+커버드콜액티브,0049M0,0.15,실물(액티브),해외,주식,환노출,0.15,LSEG
KR70052T0008,A0052T0,ETF,1Q 중단기회사채(A-이상)액티브,0052T0,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR70053L0005,A0053L0,ETF,TIGER 차이나휴머노이드로봇,0053L0,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR70060H0002,A0060H0,ETF,TIGER 토탈월드스탁액티브,0060H0,0.25,실물(액티브),해외,주식,환노출,0.25,LSEG
KR70072R0006,A0072R0,ETF,TIGER KRX금현물,0072R0,0.15,실물(패시브),국내,원자재,환노출,0.15,LSEG
KR70086C0007,A0086C0,ETF,TIGER 리츠부동산인프라10채권혼합액티브,0086C0,0.15,실물(액티브),국내,혼합자산,환노출,0.15,LSEG
KR70094M0005,A0094M0,ETF,RISE 코리아밸류업위클리고정커버드콜,0094M0,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR70098F0000,A0098F0,ETF,KODEX 원자력SMR,0098F0,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR70098N0000,A0098N0,ETF,PLUS 자사주매입고배당주,0098N0,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR70101N0005,A0101N0,ETF,RISE AI전력인프라,0101N0,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KRG520000529,Q520052,ETN,미래에셋 천연가스 선물 ETN(H),520052,,,,,,,
